k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
2.2745e-07 - 2.15459e-06 i
-1.54577e-06 + 2.19306e-06 i
1.40861e-07 - 2.7807e-06 i
-3.14386e-06 + 2.6029e-06 i
-1.07398e-06 - 3.72704e-06 i
-7.98399e-06 + 3.05676e-06 i
-8.55605e-06 - 5.138e-06 i
-2.72904e-05 + 4.40075e-06 i
-4.2915e-05 - 4.61387e-07 i
-0.000102556 + 3.88819e-05 i
-8.19183e-05 + 0.000168559 i
0.000323846 + 0.000380656 i
0.000537024 + 0.000123471 i
0.000638733 - 0.000302941 i
0.000226684 - 0.000604467 i
1.54911e-07 - 4.02714e-08 i
-0.000225127 + 0.000603291 i
-0.000635035 + 0.00030411 i
-0.00053444 - 0.000121068 i
-0.000321968 - 0.000376247 i
8.07487e-05 - 0.000166421 i
0.000102057 - 3.81328e-05 i
4.31439e-05 + 8.17372e-07 i
2.75098e-05 - 3.97189e-06 i
8.28439e-06 + 5.09484e-06 i
8.22124e-06 - 3.04535e-06 i
8.65099e-07 + 3.71343e-06 i
3.15424e-06 - 2.66538e-06 i
-2.98436e-07 + 2.69704e-06 i
2.16057e-06 - 2.16232e-06 i
-4.00906e-07 + 2.20438e-06 i
1.07945e-06 - 1.41939e-06 i
-2.93911e-07 + 2.74822e-06 i
1.37402e-06 - 2.73427e-07 i
2.39269e-06 + 2.77426e-07 i
1.1175e-12 + 4.86768e-13 i
7.59323e-13 - 5.9406e-13 i
1.6625e-06 + 7.72384e-08 i
4.96304e-07 - 2.1797e-06 i
-2.5449e-07 + 2.76183e-06 i
1.94067e-06 - 3.04937e-06 i
-8.14199e-07 + 3.29736e-06 i
3.52498e-06 - 3.82962e-06 i
-5.36475e-07 + 4.08315e-06 i
6.72077e-06 - 5.06417e-06 i
2.12911e-06 + 4.84234e-06 i
1.63291e-05 - 7.87871e-06 i
1.67879e-05 + 3.90249e-06 i
5.28613e-05 - 1.78845e-05 i
8.05125e-05 - 1.61448e-05 i
0.000187504 - 9.71165e-05 i
0.00018114 - 0.00029952 i
-0.00033531 - 0.000667591 i
-0.000706328 - 0.000362651 i
-0.00103859 + 0.000266458 i
-0.00055801 + 0.00102367 i
2.44055e-06 - 5.73801e-07 i
0.000559471 - 0.00102258 i
0.00103495 - 0.000269766 i
0.0007043 + 0.000357558 i
0.000333705 + 0.000660392 i
-0.000178634 + 0.000295831 i
-0.000186299 + 9.58146e-05 i
-8.08844e-05 + 1.54122e-05 i
-5.30854e-05 + 1.72334e-05 i
-1.64291e-05 - 3.91902e-06 i
-1.66761e-05 + 7.86803e-06 i
-1.81283e-06 - 4.91895e-06 i
-6.7123e-06 + 5.16253e-06 i
7.19882e-07 - 4.00896e-06 i
-4.19175e-06 + 3.75769e-06 i
1.38371e-06 - 3.44582e-06 i
-1.98606e-06 + 2.4031e-06 i
9.98806e-07 - 4.24429e-06 i
-1.92372e-06 + 7.27752e-07 i
-3.44852e-06 - 8.20971e-07 i
1.33608e-12 + 5.03865e-14 i
9.51666e-13 - 4.88938e-13 i
-2.7415e-06 - 1.21298e-06 i
3.43553e-08 + 4.56072e-06 i
4.03819e-06 - 5.7045e-06 i
-2.99618e-06 + 6.07433e-06 i
6.81645e-06 - 6.62033e-06 i
-4.16333e-06 + 7.40272e-06 i
1.12141e-05 - 8.29043e-06 i
-2.83507e-06 + 9.65614e-06 i
2.24677e-05 - 1.05407e-05 i
8.33749e-06 + 1.42916e-05 i
5.7697e-05 - 1.26728e-05 i
6.44097e-05 + 2.71088e-05 i
0.000203936 + 4.28839e-07 i
0.000354856 + 0.000114924 i
0.00107119 + 0.000306079 i
0.00310803 + 0.000724851 i
0.00623992 - 0.000309795 i
0.0102797 - 0.00281133 i
0.00925384 - 0.00728973 i
2.15875e-05 + 1.09147e-06 i
-0.00920426 + 0.0072738 i
-0.0102198 + 0.00281109 i
-0.00620581 + 0.000316103 i
-0.00308929 - 0.000712584 i
-0.00106805 - 0.00030007 i
-0.000352984 - 0.000112695 i
-0.000200473 + 8.90076e-07 i
-6.27523e-05 - 2.57239e-05 i
-5.73335e-05 + 1.22948e-05 i
-7.11572e-06 - 1.44273e-05 i
-2.27593e-05 + 1.04592e-05 i
2.77045e-06 - 9.82158e-06 i
-1.15895e-05 + 7.88324e-06 i
5.51772e-06 - 7.86262e-06 i
-7.52557e-06 + 5.9347e-06 i
3.51938e-06 - 5.94313e-06 i
-5.30778e-06 + 8.06733e-06 i
2.33651e-06 - 2.20111e-06 i
5.55415e-06 + 1.97851e-06 i
9.61057e-13 - 4.08625e-13 i
7.07865e-13 - 3.24514e-14 i
1.06411e-05 - 6.6722e-07 i
3.90033e-07 + 1.91464e-07 i
7.01779e-06 + 4.4061e-07 i
2.30906e-06 + 3.57035e-07 i
9.4604e-06 + 9.91189e-08 i
6.95231e-06 + 9.76127e-07 i
1.91551e-05 + 2.8948e-07 i
2.32681e-05 + 2.08669e-06 i
5.31022e-05 + 1.91442e-06 i
8.7265e-05 + 5.06253e-06 i
0.000189838 + 8.90788e-06 i
0.000364835 + 1.40288e-05 i
0.000795514 + 3.13623e-05 i
0.00162345 + 8.34109e-06 i
0.00335671 - 0.000131819 i
0.00500054 - 0.00024694 i
0.0157349 + 0.0056896 i
0.0446587 - 0.018407 i
0.00228419 - 0.0386341 i
1.00477e-05 + 1.79635e-05 i
-0.00231257 + 0.038616 i
-0.0447232 + 0.018346 i
-0.0156947 - 0.00574262 i
-0.00498707 + 0.000218998 i
-0.00334009 + 0.00012156 i
-0.00162109 - 1.34646e-05 i
-0.000790054 - 3.25039e-05 i
-0.000365184 - 1.58536e-05 i
-0.00018721 - 8.73917e-06 i
-8.85163e-05 - 5.5709e-06 i
-5.23629e-05 - 1.61175e-06 i
-2.44575e-05 - 2.63811e-06 i
-1.86933e-05 - 8.00604e-08 i
-9.2602e-06 - 1.14694e-06 i
-1.13419e-05 + 2.21977e-07 i
